,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crude oil production (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World Energy & Climate Statistics – Yearbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2022 - 2023 (%) ,2000 - 2023 (%/year) ,,,
,World,"3,193","3,179","3,197","3,219","3,258","3,305","3,391","3,490","3,586","3,566","3,660","3,688","3,660","3,819","3,954","3,980","3,994","3,984","4,019","3,931","4,024","4,065","4,157","4,177","4,265","4,374","4,425","4,418","4,520","4,513","4,205","4,251","4,463","4,506",1.0,0.9,,,
,OECD,921,942,958,966,"1,003","1,021","1,050","1,067","1,069","1,045","1,061","1,053","1,053","1,045","1,023",973,957,942,909,914,922,931,978,"1,034","1,121","1,169","1,136","1,172","1,279","1,356","1,311","1,323","1,367","1,440",5.4,1.3,,,
,G7,615,615,617,617,639,644,646,649,648,632,626,615,617,605,587,557,559,563,550,567,582,593,647,709,799,853,831,883,"1,003","1,089","1,035","1,045","1,092","1,157",5.9,2.7,,,
,BRICS,729,676,602,560,532,526,540,546,551,558,587,614,658,704,748,770,789,805,811,822,859,871,882,885,905,926,928,924,927,942,908,914,940,956,1.6,2.1,,,
,Europe,221,231,247,260,302,315,332,331,328,334,339,330,325,311,298,275,255,241,229,218,202,184,170,161,161,170,171,169,168,164,173,165,155,158,1.6,-3.3,,,
,European Union,40,39,39,39,41,40,40,41,40,41,44,43,48,48,47,47,44,42,39,36,35,33,32,31,31,31,28,28,27,26,24,23,21,21,-0.1,-3.2,,,
,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,-,,,
,Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.3,-7.1,,,
,Denmark,6,7,8,8,9,9,10,11,11,14,18,17,18,18,19,19,17,15,14,13,12,11,10,9,8,8,7,7,6,5,4,3,3,3,-8.3,-7.6,,,
,France,3,4,4,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.7,-3.5,,,
,Germany,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,-3.1,-1.8,,,
,Italy,5,4,5,5,5,5,6,6,6,5,5,4,6,6,6,6,6,7,6,5,6,6,6,6,6,6,4,4,5,5,6,5,5,5,12.0,0.6,,,
,Netherlands,4,4,4,4,5,4,3,3,3,3,3,2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,-9.0,-5.8,,,
,Poland,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,-5.3,1.1,,,
,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.2,-,,,
,Romania,8,7,7,7,7,7,7,7,7,6,6,6,7,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,-4.4,-3.1,,,
,Spain,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.3,-22.4,,,
,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-,,,
,United Kingdom,93,92,95,101,128,132,131,129,134,139,130,121,116,106,95,85,77,77,72,69,63,52,45,41,40,46,48,47,51,53,49,41,38,34,-11.3,-5.7,,,
,Norway,82,94,107,114,129,139,157,157,150,149,161,163,158,154,152,141,131,120,115,110,100,94,88,83,84,88,90,89,84,79,93,95,90,96,6.4,-2.2,,,
