,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electricity production (TWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World Energy & Climate Statistics – Yearbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2022 - 2023 (%) ,2000 - 2023 (%/year) ,,,
,World,"11,895","12,165","12,272","12,568","12,875","13,310","13,735","14,017","14,363","14,786","15,478","15,576","16,198","16,799","17,577","18,345","19,057","19,884","20,223","20,225","21,548","22,192","22,705","23,488","24,072","24,317","24,955","25,709","26,629","26,950","26,854","28,397","28,920","29,658",2.6,2.9,,,
,OECD,"7,773","7,959","8,020","8,204","8,431","8,688","8,936","9,059","9,286","9,482","9,868","9,753","10,037","10,157","10,408","10,657","10,736","10,934","10,969","10,588","11,056","11,021","11,008","11,027","10,972","11,011","11,104","11,143","11,347","11,194","10,906","11,287","11,388","11,210",-1.6,0.6,,,
,G7,"6,079","6,223","6,264","6,401","6,563","6,740","6,926","6,965","7,114","7,241","7,497","7,306","7,539","7,599","7,753","7,926","7,950","8,042","8,032","7,689","8,040","7,950","7,886","7,937","7,893","7,883","7,900","7,879","8,026","7,878","7,628","7,812","7,882","7,750",-1.7,0.1,,,
,BRICS,"2,381","2,464","2,505","2,584","2,634","2,749","2,857","2,952","3,017","3,160","3,354","3,481","3,705","4,059","4,433","4,799","5,287","5,819","6,013","6,349","6,975","7,535","7,904","8,511","9,010","9,067","9,490","10,036","10,661","11,081","11,263","12,204","12,684","13,443",6.0,6.2,,,
,Europe,"2,898","2,935","2,924","2,929","2,974","3,068","3,161","3,196","3,277","3,324","3,436","3,501","3,537","3,620","3,704","3,762","3,813","3,857","3,883","3,708","3,866","3,821","3,847","3,823","3,752","3,812","3,850","3,899","3,896","3,838","3,728","3,883","3,780","3,646",-3.6,0.3,,,
,European Union,"2,275","2,317","2,303","2,303","2,340","2,409","2,495","2,506","2,560","2,586","2,658","2,734","2,757","2,837","2,908","2,927","2,974","2,988","2,999","2,846","2,984","2,942","2,939","2,921","2,861","2,907","2,928","2,961","2,943","2,907","2,790","2,916","2,824","2,726",-3.5,0.1,,,
,Belgium,71,72,72,71,72,74,76,79,83,85,84,80,82,85,84,86,85,88,84,91,95,91,83,83,73,70,86,87,75,94,89,100,96,82,-14.5,-0.1,,,
,Czechia,63,61,59,59,59,61,64,65,65,65,73,75,76,83,84,83,84,88,84,82,86,87,87,87,86,84,83,87,88,87,82,85,85,76,-10.1,0.2,,,
,Denmark,26,37,31,34,41,37,54,44,41,39,36,38,39,46,40,36,46,39,37,36,39,35,31,35,32,29,31,31,30,30,29,33,35,34,-3.5,-0.3,,,
,France,421,456,464,473,477,494,513,505,511,526,540,550,559,567,574,576,575,570,574,536,569,573,573,582,573,579,564,562,582,571,532,555,475,527,11.0,-0.1,,,
,Germany,550,540,537,526,529,537,555,552,556,556,577,586,587,609,618,623,640,641,641,596,633,613,628,639,628,648,650,654,640,607,575,593,580,513,-11.5,-0.5,,,
,Italy,217,222,226,223,232,241,244,251,260,266,277,279,285,294,303,304,314,314,319,293,302,303,299,290,280,283,290,296,290,294,281,289,284,264,-7.0,-0.2,,,
,Netherlands,72,74,77,77,80,81,85,87,91,87,90,94,96,97,101,100,99,105,108,114,119,114,103,102,103,110,115,117,114,121,123,122,122,122,0.4,1.4,,,
,Poland,136,135,133,134,135,139,143,143,143,142,145,146,144,152,154,157,162,159,155,152,158,164,162,165,159,165,167,170,170,164,158,180,180,170,-5.5,0.7,,,
,Portugal,29,30,30,31,31,33,35,34,39,43,44,47,46,47,45,47,49,47,46,50,54,52,47,52,53,52,60,59,60,53,53,51,49,49,1.4,0.5,,,
,Romania,64,57,54,55,55,59,61,57,53,50,52,54,54,55,56,59,63,62,65,58,61,62,59,59,66,66,65,64,65,60,56,59,56,58,3.8,0.5,,,
,Spain,152,156,159,157,162,167,174,190,195,208,224,236,245,261,280,294,299,305,314,295,302,294,298,286,279,281,275,276,274,273,263,274,292,282,-3.5,1.0,,,
,Sweden,147,147,146,146,143,148,141,149,159,155,145,162,147,135,152,158,143,149,150,137,149,150,167,153,154,162,156,164,163,168,164,172,173,166,-3.9,0.6,,,
,United Kingdom,320,323,321,323,326,334,351,351,363,368,377,385,387,398,394,398,397,397,389,377,383,368,364,358,338,338,337,337,332,9,311,307,320,284,-11.3,-1.2,,,
,Norway,122,111,117,120,112,122,105,111,116,122,143,121,130,107,110,137,121,136,141,131,123,126,147,134,142,144,149,149,147,134,155,158,146,154,5.5,0.3,,,
,Turkiye,58,60,67,74,78,86,95,103,111,116,125,123,129,141,151,162,176,192,198,195,211,229,239,240,252,262,274,297,305,304,307,335,328,324,-1.4,4.2,,,
,CIS,"1,675","1,634","1,529","1,436","1,309","1,270","1,237","1,211","1,197","1,214","1,251","1,268","1,274","1,318","1,346","1,374","1,433","1,458","1,483","1,407","1,483","1,513","1,542","1,538","1,532","1,517","1,545","1,553","1,592","1,596","1,563","1,657","1,626","1,640",0.8,1.2,,,
,Azerbaijan,23,23,20,19,18,17,17,17,18,18,19,19,19,21,22,23,25,22,22,19,19,20,23,23,25,25,25,24,25,26,26,28,29,29,1.0,2.0,,,
,Kazakhstan,87,86,83,77,66,67,59,52,53,47,52,55,58,64,67,68,72,77,80,79,83,87,93,103,95,92,95,103,108,107,111,115,113,113,0.0,3.5,,,
,Russia,"1,082","1,068","1,008",957,876,860,847,834,827,846,878,891,891,916,932,953,996,"1,015","1,040",992,"1,038","1,055","1,071","1,059","1,064","1,068","1,091","1,094","1,115","1,121","1,090","1,159","1,170","1,178",0.7,1.3,,,
