Total energy production (Mtoe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Energy & Climate Statistics – Yearbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2022 - 2023 (%) ,2000 - 2023 (%/year) ,,,,,,,,,,,,,,,,,,,,,
World,"8,781","8,793","8,813","8,839","8,980","9,183","9,414","9,540","9,615","9,696","9,913","10,094","10,238","10,697","11,207","11,535","11,858","12,064","12,376","12,287","12,920","13,235","13,536","13,728","13,876","13,917","13,878","14,175","14,658","14,992","14,400","14,892","15,270","15,491",1.4,2,,,,,,,,,,,,,,,,,,,,,
OECD,"3,513","3,546","3,573","3,562","3,677","3,744","3,859","3,888","3,903","3,880","3,918","3,969","3,954","3,936","3,981","3,956","3,984","3,967","3,989","3,929","4,036","4,033","4,060","4,153","4,306","4,328","4,223","4,338","4,537","4,685","4,464","4,542","4,648","4,739",2,0.8,,,,,,,,,,,,,,,,,,,,,
G7,"2,539","2,540","2,554","2,535","2,635","2,667","2,718","2,723","2,732","2,717","2,712","2,725","2,698","2,663","2,680","2,655","2,678","2,670","2,683","2,633","2,683","2,693","2,702","2,774","2,926","2,952","2,849","2,962","3,169","3,309","3,113","3,196","3,277","3,392",3.5,1,,,,,,,,,,,,,,,,,,,,,
BRICS,"2,585","2,531","2,471","2,427","2,435","2,497","2,545","2,534","2,493","2,541","2,583","2,676","2,841","3,107","3,354","3,553","3,727","3,890","4,039","4,128","4,455","4,665","4,823","4,891","4,902","4,891","4,800","4,969","5,185","5,370","5,333","5,615","5,777","5,888",1.9,3.6,,,,,,,,,,,,,,,,,,,,,
Europe,"1,136","1,140","1,140","1,145","1,166","1,197","1,255","1,250","1,220","1,221","1,230","1,237","1,243","1,238","1,239","1,200","1,178","1,147","1,154","1,113","1,134","1,088","1,086","1,070","1,045","1,053","1,045","1,044","1,044","1,015",976,991,962,931,-3.2,-1.2,,,,,,,,,,,,,,,,,,,,,
European Union,747,733,720,713,703,710,727,719,689,680,681,690,694,699,716,707,707,693,701,671,700,686,691,691,673,654,640,634,632,611,565,590,551,536,-2.7,-1,-0.027199015,,,,,,,,,,,,,,,,,,,,
Belgium,13,13,13,12,12,12,12,13,13,14,14,13,13,14,14,14,14,14,14,15,16,16,14,15,13,11,15,15,12,16,14,18,16,14,-15.3,0,,,,,,,,,,,,,,,,,,,,,
Czechia,41,39,37,36,34,33,33,34,32,29,31,32,32,34,35,33,34,34,33,32,32,33,33,31,30,29,27,28,28,27,24,25,25,24,-7.1,-1.2,,,,,,,,,,,,,,,,,,,,,
Denmark,10,12,13,14,15,16,18,20,20,24,28,27,29,28,31,31,30,27,27,24,23,21,19,17,16,16,15,15,14,12,9,9,10,9,-3.1,-4.7,,,,,,,,,,,,,,,,,,,,,
France,112,119,120,126,124,128,132,129,125,127,131,132,134,136,137,137,136,134,136,129,136,137,135,137,138,139,131,129,135,132,120,127,104,118,13.2,-0.5,,,,,,,,,,,,,,,,,,,,,
